id,name,drawer,kind,shank_d_mm,cut_d_mm,oal_mm,bbox_l_mm,bbox_w_mm,bbox_h_mm,qty,dims_status,socket_note,height_class,silhouette,strip,store,hold_mm,status,status_note
T054,Plastic organizer case (Crush-It Nutz 'n Bolts),D3,captured,,,,154.9,103.1,32,1,CAPTURED,"capture the CASE, closed; holds T039-T041, T043, T047-T053",40,captures/T054.dxf,FIXTURES,recess,,active,
T055,Shapeoko 5.1 Pro Joinery Stop,D3,captured,,,,154.4,46.1,8,1,CAPTURED,,10,captures/T055.dxf,FIXTURES,slot,,active,
T056,Essential Clamp bar,D3,captured,,,,70.3,20.5,18,14,CAPTURED,"T046 + T057 merged in 2026-09-11: 4 standalone + 6 machine-bundled + 4 Crush-It = 14. Held by the 20 x 12 body, nose down (Carbide essential-clamp caddy).",20,captures/T056.dxf,CLAMPS,socket,20x12,active,
T057,Shapeoko Essential Clamps (machine-bundled),D3,block,,,,,,,6,MEASURE,,,,,,,struck,merged into T056 2026-09-11 (same part C3D-EC; T056 qty 14)
T058,Teez Nutz T-nuts (Crush-It kit),D3,block,,,,,,,12,MEASURE,,,,,,,struck,merged into T047 2026-09-11 (T047 qty 24)
T062,Digital calipers,D2,captured,,,,237.2,71.8,10,1,CAPTURED,owned (Jared 2026-09-11); lay closed,10,captures/T062.dxf,,,,struck,"Jared 2026-09-21: calipers per machine station; the pair lives in the station kit, never a tray pocket"
T063,BitZero V2 touch probe,D2,captured,,,,49.1,45.9,34,1,CAPTURED,"owned (Jared 2026-09-11); Carbide 3D BitZero V2 assumed, body only, cable coiled beside",40,captures/T063.dxf,,dock,,active,
T064,Deburring tool,D2,captured,,,,,,,1,MEASURE,owned (Jared 2026-09-11). D2 CONFIRMED by Jared 2026-09-21,,,INSTRUMENTS,bore,,active,
T065,Brush (chip/dust),D2,captured,,,,,,,1,MEASURE,owned (Jared 2026-09-11). D2 CONFIRMED by Jared 2026-09-21,,,INSTRUMENTS,bore,,active,
T066,Dust-boot upper collar (polycarbonate),D2,captured,,,,148.6,67.4,,1,CAPTURED,"clear polycarbonate: trace on the WHITE card (ruling 2026-09-21), traced 2026-09-21, slot 40; ID photo 2026-09-21 IMG_4714 at /tmp/imsg-relay-attachments/EB650DCE-IMG_4714.png",40,captures/T066.dxf,BOOTS,recess,,active,
T067,T-handle hex driver 5x150,D3,captured,5,,150,181.6,113.2,23,1,CAPTURED,"stands, handle front to back; hold = hex across corners (5 x 1.155), then handle thickness",30,captures/T067.dxf,HEX,bore,5.8x23,active,
T068,T-handle hex driver 4x150,D3,captured,4,,150,172.8,89.1,18,1,CAPTURED,"hold = 4mm hex across corners, then handle thickness",20,captures/T068.dxf,HEX,bore,4.7x18,active,
T069,T-handle hex driver 3x150,D3,captured,3,,150,167.3,86.5,18,1,CAPTURED,"hold = 3mm hex across corners, then handle thickness",20,captures/T069.dxf,HEX,bore,3.5x18,active,
T070,T-handle hex driver 2.5x150,D3,captured,2.5,,150,164.6,85.2,18,1,CAPTURED,"hold = 2.5mm hex across corners, then handle thickness. PROVISIONAL OUTLINE, scaled from T069 on 2026-09-21 (L ×0.984, W ×0.985), tool not yet owned; RE-CAPTURE on arrival before D3 cuts",20,captures/T070.dxf,HEX,bore,2.9x18,active,"provisional silhouette, not a measurement"
T071,Crush-It Essentials Caddy (Carbide 3D Print Library),D3,block,,,,,,,1,NONE,,,,,,,struck,Jared 2026-09-25: no printed objects in the drawers; the library's STLs are reference only. The kit's pieces keep their own pockets.
T072,Amana 46170-K 1/4in compression spiral (up/down),D1,cutter,6.35,6.35,63.5,,,,2,CATALOG,ADD A002; ordered 2026-09-25 (Order #3). Catalog 1/4 x 1/4 x 2-1/2 OAL,,,SHEET,bore,,ordered,arrives with Order #3; bores cut now so the strip is right on arrival
